Source;Target;Weight
7;51;0.096052
7;52;0.934280
7;53;0.914142
7;54;0.979078
7;55;0.962867
7;56;0.897137
7;57;0.956005
7;58;0.945737
7;59;0.897588
7;60;0.925043
7;61;0.979965
7;62;0.138490
7;63;0.916034
7;64;0.952413
7;65;0.948698
7;66;0.888698
7;67;0.924946
7;68;0.026437
7;69;0.986113
7;70;0.985668
7;71;0.955103
7;72;0.955133
7;73;0.919819
7;74;0.949605
7;75;0.986521
7;76;0.978433
7;77;0.953247
7;78;0.920211
7;79;0.923924
7;80;0.951005
7;81;0.985794
8;0;0.184124
8;1;0.311629
8;2;0.395856
8;3;0.448007
8;4;0.403263
8;5;0.159613
8;6;0.698765
8;7;0.976511
8;8;0.000000
8;9;0.896790
8;10;0.087302
8;11;0.900891
8;12;0.679018
8;13;0.619923
8;14;0.934532
8;15;0.566822
8;16;0.756104
8;17;0.611439
8;18;0.992743
8;19;0.844341
8;20;0.198088
8;21;0.810915
8;22;0.889304
8;23;0.677837
8;24;0.516376
8;25;0.726026
8;26;0.742705
8;27;0.806141
8;28;0.863847
8;29;0.976712
8;30;0.740682
8;31;0.549184
8;32;0.309289
8;33;0.411516
8;34;0.811589
8;35;0.966763
8;36;0.988720
8;37;0.989406
8;38;0.686063
8;39;0.497017
8;40;0.911960
8;41;0.939726
8;42;0.399177
8;43;0.955592
8;44;0.681291
8;45;0.630084
8;46;0.805840
8;47;0.718977
8;48;0.959428
8;49;0.924409
8;50;0.553139
8;51;0.986821
8;52;0.359762
8;53;0.660322
8;54;0.461607
8;55;0.554534
8;56;0.761930
8;57;0.663824
8;58;0.442008
8;59;0.489821
8;60;0.721001
8;61;0.717825
8;62;0.960827
8;63;0.584157
8;64;0.332457
8;65;0.419784
8;66;0.333909
8;67;0.774442
8;68;0.962958
8;69;0.794623
8;70;0.118493
8;71;0.542525
8;72;0.747041
8;73;0.365667
8;74;0.657992
8;75;0.216173
8;76;0.665985
8;77;0.629916
8;78;0.638133
8;79;0.746337
8;80;0.438217
8;81;0.524179
9;0;0.907784
9;1;0.869171
9;2;0.890366
9;3;0.959211
9;4;0.844181
9;5;0.869826
9;6;0.906004
9;7;0.028371
9;8;0.896790
9;9;0.000000
9;10;0.901386
9;11;0.016023
9;12;0.872077
9;13;0.970063
9;14;0.132249
9;15;0.971685
9;16;0.989235
9;17;0.871431
9;18;0.999611
9;19;0.147550
