class labels,features,ngrams,num_comp,classifier,measure,value
google,tfidf,all,200,Dummy,Score,0.5158730159
google,tfidf,all,200,Linear SVM,Fscore,0.4074568289
google,tfidf,all,200,Linear SVM,Precision,0.4114386495
google,tfidf,all,200,Linear SVM,Recall,0.4523809524
google,tfidf,all,200,Linear SVM,Score,0.4523809524
google,tfidf,all,200,Logistic Regression,Fscore,0.3848294901
google,tfidf,all,200,Logistic Regression,Precision,0.374737586
google,tfidf,all,200,Logistic Regression,Recall,0.4047619048
google,tfidf,all,200,Logistic Regression,Score,0.4047619048
google,tfidf,all,200,Naive Bayes,Fscore,0.2115912079
google,tfidf,all,200,Naive Bayes,Precision,0.4163626601
google,tfidf,all,200,Naive Bayes,Recall,0.1904761905
google,tfidf,all,200,Naive Bayes,Score,0.1904761905
google,tfidf,all,200,Nearest Neighbors,Fscore,0.382532124
google,tfidf,all,200,Nearest Neighbors,Precision,0.3725740998
google,tfidf,all,200,Nearest Neighbors,Recall,0.4682539683
google,tfidf,all,200,Nearest Neighbors,Score,0.4682539683
google,tfidf,all,200,Neural Net,Fscore,0.4147983387
google,tfidf,all,200,Neural Net,Precision,0.4042992245
google,tfidf,all,200,Neural Net,Recall,0.4444444444
google,tfidf,all,200,Neural Net,Score,0.4444444444
google,tfidf,all,200,RBF SVM,Fscore,0.3511177595
google,tfidf,all,200,RBF SVM,Precision,0.2661249685
google,tfidf,all,200,RBF SVM,Recall,0.5158730159
google,tfidf,all,200,RBF SVM,Score,0.5158730159
google,tfidf,all,200,Random Forest,Fscore,0.3493743176
google,tfidf,all,200,Random Forest,Precision,0.2662570405
google,tfidf,all,200,Random Forest,Recall,0.5079365079
google,tfidf,all,200,Random Forest,Score,0.5079365079
google,tfidf,all,300,AdaBoost,Fscore,0.428795241
google,tfidf,all,300,AdaBoost,Precision,0.4722222222
google,tfidf,all,300,AdaBoost,Recall,0.5158730159
google,tfidf,all,300,AdaBoost,Score,0.5158730159
google,tfidf,all,300,Decision Tree,Fscore,0.4241052141
google,tfidf,all,300,Decision Tree,Precision,0.3991925122
google,tfidf,all,300,Decision Tree,Recall,0.4523809524
google,tfidf,all,300,Decision Tree,Score,0.4523809524
google,tfidf,all,300,Dummy,Fscore,0.3511177595
google,tfidf,all,300,Dummy,Precision,0.2661249685
google,tfidf,all,300,Dummy,Recall,0.5158730159
google,tfidf,all,300,Dummy,Score,0.5158730159
google,tfidf,all,300,Linear SVM,Fscore,0.4164490624
google,tfidf,all,300,Linear SVM,Precision,0.4052832472
