class labels,features,ngrams,num_comp,classifier,measure,value
my,justc,uni,all,Logistic Regression,Fscore,0.3403135448
google,tfidf,uni,10,Decision Tree,Fscore,0.4219745307
google,tfidf,tri,200,Decision Tree,Fscore,0.3925456535
google,tfidf,uni,100,Nearest Neighbors,Score,0.4761904762
my,tfidf,all,300,Neural Net,Recall,0.4206349206
google,tfidf,quad,10,Neural Net,Precision,0.35572307
google,tfidf,tri,300,Decision Tree,Score,0.4285714286
my,tfidf,uni,10,AdaBoost,Recall,0.3492063492
google,tfidf,all,100,Naive Bayes,Fscore,0.2052228757
google,tfidf,quad,10,Neural Net,Score,0.4920634921
my,tfidf,quad,10,Linear SVM,Score,0.3650793651
my,tfidf,tri,200,Dummy,Recall,0.0476190476
google,tfidf,uni,200,Logistic Regression,Recall,0.4365079365
my,tfidf,tri,300,Decision Tree,Score,0.3492063492
google,tfidf,tri,300,Linear SVM,Fscore,0.4330555985
my,justc,tri,all,Random Forest,Precision,0.0728143109
google,tfidf,quad,10,Random Forest,Score,0.4920634921
my,tfidf,quad,200,Dummy,Precision,0.0022675737
my,tfidf,quad,200,Naive Bayes,Recall,0.3253968254
my,tfidf,quad,10,AdaBoost,Recall,0.3174603175
my,tfidf,bi,10,Random Forest,Score,0.4047619048
google,tfidf,uni,300,Linear SVM,Precision,0.3871783017
my,tfidf,uni,100,Random Forest,Recall,0.3333333333
google,tfidf,uni,400,Linear SVM,Fscore,0.3672268908
my,tfidf,tri,300,Nearest Neighbors,Precision,0.374771459
my,tfidf,tri,100,Nearest Neighbors,Recall,0.3888888889
google,tfidf,uni,300,Neural Net,Fscore,0.4162561576
google,tfidf,quad,300,Naive Bayes,Score,0.2222222222
my,tfidf,bi,300,Linear SVM,Fscore,0.4303874286
my,tfidf,quad,400,Decision Tree,Recall,0.246031746
google,tfidf,tri,100,Naive Bayes,Precision,0.3403563002
my,tfidf,all,10,AdaBoost,Fscore,0.366718249
my,tfidf,tri,100,Random Forest,Fscore,0.3539823812
google,tfidf,uni,10,Naive Bayes,Precision,0.3741960654
my,numoc,tri,all,Nearest Neighbors,Fscore,0.0434877147
google,tfidf,quad,200,Naive Bayes,Precision,0.2715023994
my,tfidf,uni,10,AdaBoost,Precision,0.3438375065
my,tfidf,bi,400,Neural Net,Recall,0.4126984127
google,tfidf,tri,200,RBF SVM,Recall,0.5158730159
my,tfidf,quad,400,Naive Bayes,Score,0.253968254
google,tfidf,tri,10,Nearest Neighbors,Precision,0.4075755163
my,tfidf,tri,100,Linear SVM,Score,0.4444444444
my,tfidf,all,400,Linear SVM,Precision,0.5110784788
my,tfidf,all,300,Decision Tree,Recall,0.3333333333
my,tfidf,quad,300,Random Forest,Precision,0.2078951054
my,tfidf,bi,400,Decision Tree,Precision,0.3903512855
my,tfidf,uni,400,Decision Tree,Recall,0.3888888889
my,tfidf,all,10,Nearest Neighbors,Fscore,0.4148196631
my,tfidf,uni,10,Random Forest,Precision,0.4040040924
my,tfidf,tri,100,Decision Tree,Score,0.3333333333
my,numoc,bi,all,Neural Net,Fscore,0.1146825397
my,tfidf,all,400,Random Forest,Recall,0.2301587302
my,tfidf,uni,200,Logistic Regression,Precision,0.4552429052
google,tfidf,uni,300,Linear SVM,Recall,0.4365079365
my,tfidf,tri,300,Dummy,Precision,0.0022675737
my,tfidf,uni,400,Logistic Regression,Recall,0.4206349206
google,tfidf,quad,200,AdaBoost,Recall,0.4365079365
google,tfidf,tri,100,RBF SVM,Recall,0.5158730159
my,tfidf,bi,300,Neural Net,Recall,0.4047619048
google,tfidf,bi,200,Linear SVM,Recall,0.4126984127
google,tfidf,tri,100,Naive Bayes,Score,0.1904761905
my,tfidf,quad,200,Neural Net,Score,0.4444444444
my,tfidf,all,10,Dummy,Fscore,0.0043290043
google,tfidf,bi,400,RBF SVM,Fscore,0.3511177595
google,tfidf,all,300,Neural Net,Precision,0.4809538007
google,tfidf,all,400,Decision Tree,Precision,0.3738095238
google,tfidf,all,100,Neural Net,Recall,0.4365079365
google,numoc,uni,all,AdaBoost,Score,0.3492063492
my,tfidf,bi,10,Decision Tree,Recall,0.3095238095
my,numoc,uni,all,Logistic Regression,Recall,0.3492063492
